date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:44:58	9957/9957	---M-Z	200	added ('OK')	text/html	etag:%22843f7488e8b44df08ac1db367cbefcbb-ssl-df%22	https://spline.design/	C:/Users/user/Downloads/asplines/laand/spline.design/index.html	(from )
16:44:58	1447/1447	---MCZ	404	error ('Not%20Found')	text/html	etag:1570031846-ssl-df	https://spline.design/robots.txt		(from )
16:44:59	2084/2084	---M--	200	added ('OK')	image/png	etag:%22d58bd6edb2fac788d32eb4aad45d1506-ssl%22	https://spline.design/_assets/_images/icon_favicon16x16.png	C:/Users/user/Downloads/asplines/laand/spline.design/_assets/_images/icon_favicon16x16.png	(from https://spline.design/)
16:44:59	5560/5560	---M--	200	added ('OK')	image/png	etag:%22049927a549066ce6fa98060f9f05379d-ssl%22	https://spline.design/_assets/_images/icon_favicon32x32.png	C:/Users/user/Downloads/asplines/laand/spline.design/_assets/_images/icon_favicon32x32.png	(from https://spline.design/)
16:44:59	7152/7152	---M-Z	200	added ('OK')	text/css	etag:518db96cfc108b4281787dcd0469269ab917cf33-df	https://d33wubrfki0l68.cloudfront.net/css/a12668072c73b1fd0cad08ff2bc31497f286db68/_css/styles.min.css	C:/Users/user/Downloads/asplines/laand/d33wubrfki0l68.cloudfront.net/css/a12668072c73b1fd0cad08ff2bc31497f286db68/_css/styles.min.css	(from https://spline.design/)
16:45:00	216844/216844	---M--	200	added ('OK')	image/png	etag:%22a7e8de7d76e658c8382f2bd8bcd5490b-ssl%22	https://spline.design/_assets/_images/spline_image_banner.png	C:/Users/user/Downloads/asplines/laand/spline.design/_assets/_images/spline_image_banner.png	(from https://spline.design/)
16:45:00	60878/60878	---M-Z	200	added ('OK')	application/javascript	etag:%22e7ee6bc7f428f90fb1b1ed0e94b9f835%22	https://cdn.amplitude.com/libs/amplitude-7.2.1-min.gz.js	C:/Users/user/Downloads/asplines/laand/cdn.amplitude.com/libs/amplitude-7.2.1-min.gz.js	(from https://spline.design/)
16:45:01	41031/41031	---M--	200	added ('OK')	image/png	etag:1a8374ebb500feb2c63e9bec54f01e2b1f959be9	https://d33wubrfki0l68.cloudfront.net/6e818a6053f5a11d48f2070de259173df357290c/207d7/_assets/_images/spline_logo.png	C:/Users/user/Downloads/asplines/laand/d33wubrfki0l68.cloudfront.net/6e818a6053f5a11d48f2070de259173df357290c/207d7/_assets/_images/spline_logo.png	(from https://spline.design/)
16:45:02	657482/657482	---M-Z	200	added ('OK')	application/javascript	etag:%22600afd9e-25be3%22	https://fast.wistia.com/assets/external/E-v1.js	C:/Users/user/Downloads/asplines/laand/fast.wistia.com/assets/external/E-v1.js	(from https://spline.design/)
16:45:02	962839/962839	---M--	200	added ('OK')	image/png	etag:7e563a8e9897716b07f57d0b1fc859872ce8ae71	https://d33wubrfki0l68.cloudfront.net/d1e95826da65f8f8ad2184af7ab9ff3d7a2610cd/24f6e/_assets/_images/spline_app_ui_03.png	C:/Users/user/Downloads/asplines/laand/d33wubrfki0l68.cloudfront.net/d1e95826da65f8f8ad2184af7ab9ff3d7a2610cd/24f6e/_assets/_images/spline_app_ui_03.png	(from https://spline.design/)
16:45:03	646271/646271	---M-Z	200	added ('OK')	application/javascript	etag:%225f745ee2-9dc7f%22	https://cdnjs.cloudflare.com/ajax/libs/three.js/r121/three.min.js	C:/Users/user/Downloads/asplines/laand/cdnjs.cloudflare.com/ajax/libs/three.js/r121/three.min.js	(from https://spline.design/)
16:45:04	17741/17741	---M-Z	200	added ('OK')	application/javascript	etag:%225f8484a6-454d%22	https://cdnjs.cloudflare.com/ajax/libs/animejs/3.2.1/anime.min.js	C:/Users/user/Downloads/asplines/laand/cdnjs.cloudflare.com/ajax/libs/animejs/3.2.1/anime.min.js	(from https://spline.design/)
16:45:04	175546/175546	---MCZ	200	added ('OK')	application/javascript	etag:d7ce3345d822f9d153f5d39ef2ece2f233ce98bc-df	https://d33wubrfki0l68.cloudfront.net/bundles/ebb7f15f14cfd10ffb2f830afc393bac8ece98df.js	C:/Users/user/Downloads/asplines/laand/d33wubrfki0l68.cloudfront.net/bundles/ebb7f15f14cfd10ffb2f830afc393bac8ece98df.js	(from https://spline.design/)
